,LQA Bid-Ask Spread,Yld to Mty (Mid),S&P Outlook,cluster1,Issuer Name
263,0.0881655990805965,5.417431169328894,0,0,Morgan Stanley
264,0.0495872739769876,4.162185810618487,0,0,Intesa Sanpaolo SpA
265,0.2344479188081022,5.618778573483006,0,0,Nasdaq Inc
266,0.0531654603643249,5.172653686948265,0,0,Apple Inc
268,0.3536730055828841,8.58242508197265,-1,1,UBS Group AG
269,0.0451239729367749,6.524326637100446,0,0,JPMorgan Chase & Co
271,0.3857426670717795,5.94365488123407,0,2,Nasdaq Inc
272,0.2876210825136768,6.4546102924119415,0,2,Alpha Bank SA
273,0.1013943471950956,4.594010392420062,0,0,Apple Inc
274,0.3412041093542019,8.266763033998485,0,2,JPMorgan Chase & Co
275,0.1764117310087396,4.207376153616967,0,0,Danske Bank A/S
277,0.3424107906815271,6.438871023524786,0,2,Alpha Bank SA
279,0.0878665385401687,4.502478627517046,0,0,Danske Bank A/S
281,0.0654768536098366,6.546741829198007,0,0,Morgan Stanley
282,0.0648396436070925,6.704601583543716,-1,1,UBS Group AG
283,0.0204909986732974,6.723711558306789,0,0,JPMorgan Chase & Co
285,0.1846517570901186,5.92670987747304,-1,1,UBS Group AG
286,0.0835617944796463,5.484059971005255,0,0,Morgan Stanley
287,0.1641424750594155,4.672079272492408,0,0,Apple Inc
288,0.1898689865047324,6.906084584531465,0,2,Intesa Sanpaolo SpA
290,0.2476018235214178,4.339170454436372,0,0,Intesa Sanpaolo SpA
291,0.091058087463956,4.924387372577725,0,0,Apple Inc
294,0.0992493602200267,6.219939374218513,-1,1,UBS Group AG
296,0.3291130542228741,5.489415923152784,0,2,AbbVie Inc
297,0.0362960649859778,6.232747006632888,0,0,Morgan Stanley
301,0.112212532356716,5.959733248361004,-1,1,UBS Group AG
302,0.3693523839313836,5.050517257542158,0,2,Apple Inc
303,0.1914711509490935,7.564217145764059,0,2,Intesa Sanpaolo SpA
304,0.2679011470754591,4.148081470169905,0,0,Nasdaq Inc
305,0.1164663631756552,6.629847713680093,0,0,Morgan Stanley
306,0.0567765005307362,5.07969284634053,0,0,Apple Inc
310,0.3277378865515176,6.346051978103885,0,2,Alpha Bank SA
311,0.1590073552744087,5.742443878268135,0,0,JPMorgan Chase & Co
312,0.0625139539119501,5.452318592300134,0,0,JPMorgan Chase & Co
313,0.1276884998050079,5.901393198115309,0,0,Morgan Stanley
314,0.0893256178228013,5.8325561713424365,0,0,JPMorgan Chase & Co
315,0.0415192397159454,4.014336917446274,0,0,AbbVie Inc
316,0.1349901287661615,4.595528964286325,0,0,Apple Inc
317,0.1261959982523762,4.6558696325977404,0,0,Apple Inc
318,0.0902647770316865,5.7599238982032395,0,0,JPMorgan Chase & Co
320,0.0342992710111384,6.238162050313994,0,0,JPMorgan Chase & Co
321,0.0722850039828364,5.690964309073636,0,0,JPMorgan Chase & Co
322,0.0617719493457753,5.259762034165017,-1,1,Intel Corp
326,0.2666051931330999,5.238071349820602,1,0,Deutsche Bank AG
327,0.1572588918943944,4.267225441093484,1,0,Deutsche Bank AG
328,0.2501320280504598,5.955299631945726,1,2,Deutsche Bank AG
330,0.3303174841281048,5.539867960826445,0,2,JPMorgan Chase & Co
335,0.146273559431711,4.350765435305395,0,0,Morgan Stanley
336,0.1882283155950517,5.719626655910955,0,0,JPMorgan Chase & Co
