,Issuer Name,Amt Issued,Issue Date,Maturity,Moody Rtg,S&P Rating,Currency,ISIN,Yld to Mty (Mid),Yield at Issue,Cpn,Moody's Rating Outlook,S&P Outlook,LQA Bid-Ask Spread,Market Cap
82,UBS Group AG,1235755500.0,2/10/2021,#N/A Field Not Applicable,Baa3,BB,USD,USH42097CB19,8.40151611294243,4.375,4.375,POS,NEG,0.4650403062668819,80112709880
84,Danske Bank A/S,1000000000.0,6/21/2023,6/21/2030,Baa2,BBB+,EUR,XS2637421848,4.510067193298896,4.791,4.75,POS,STABLE,0.1294197599213129,150968527130
86,AbbVie Inc,1500927750.0,9/18/2018,11/14/2028,A3,A-,USD,US00287YBF51,4.9433993247340755,4.354,4.25,STABLE,STABLE,0.1150981609645151,245882865540
88,Morgan Stanley,2282872500.0,10/18/2022,10/18/2028,A1,A-,USD,US61747YEV39,5.890363974084191,6.296,6.296,STABLE,STABLE,0.1459512808579511,125905011300
89,Apple Inc,1225947500.0,8/8/2022,8/8/2062,Aaa,AA+,USD,US037833ER75,5.145454468330364,4.118,4.1,STABLE,STABLE,0.3834859626792267,2962954783520
91,Morgan Stanley,2247485000.0,7/21/2023,7/21/2034,A1,A-,USD,US61747YFG52,5.976816462712126,5.424,5.424,STABLE,STABLE,0.1104802358228652,125905011300
92,Morgan Stanley,2022736500.0,7/21/2023,7/20/2029,A1,A-,USD,US61747YFF79,5.837093004996034,5.449,5.449,STABLE,STABLE,0.0953257752373563,125896804740
93,Danske Bank A/S,692300250.0,3/28/2017,#N/A Field Not Applicable,Ba2u,BB+,USD,XS1586367945,7.931333247047571,6.125,6.125,POS,STABLE,0.3928127940859563,150968527130
94,Intel Corp,1171686250.0,2/10/2023,2/10/2030,A2,A,USD,US458140CF51,4.952997069104713,5.13,5.125,NEG,NEG,0.1284235344756702,186958520000
95,Apple Inc,1795312500.0,5/6/2014,5/6/2024,Aaa,AA+,USD,US037833AS94,5.5332767048741,3.4600000000000004,3.45,STABLE,STABLE,0.0906159401772436,2962954783520
96,Intesa Sanpaolo SpA,1000000000.0,9/6/2022,9/6/2027,Baa3,BBB-,EUR,XS2529233814,4.320248337985321,4.75,4.75,STABLE,STABLE,0.1832847144316699,47827802150
98,Apple Inc,2081751750.0,5/11/2020,5/11/2025,Aaa,AA+,USD,US037833DT41,5.086298507106809,1.162,1.125,STABLE,STABLE,0.0433249318023522,2962954783520
101,Intel Corp,1171686250.0,2/10/2023,2/10/2063,A2,A,USD,US458140CK47,5.696049383496265,5.9030000000000005,5.9,NEG,NEG,0.3837226613853213,186958520000
103,JPMorgan Chase & Co,2814471000.0,4/26/2022,4/26/2028,A1,A-,USD,US46647PDA12,5.773589451798344,4.323,4.323,STABLE,STABLE,0.1478434366559929,443654140000
105,Morgan Stanley,2148485000.0,10/19/2021,10/21/2025,A1,A-,USD,US61747YEG61,6.316647573931808,1.164,1.164,STABLE,STABLE,0.0401785119311566,125905011300
107,Intel Corp,937349000.0,2/10/2023,2/10/2043,A2,A,USD,US458140CH18,5.559437002035074,5.63,5.625,NEG,NEG,0.3105500048610345,186958520000
