,Issuer Name,Amt Issued,Issue Date,Maturity,Moody Rtg,S&P Rating,Currency,ISIN,Yld to Mty (Mid),Yield at Issue,Cpn,Moody's Rating Outlook,S&P Outlook,LQA Bid-Ask Spread,Market Cap
191,Morgan Stanley,2311305000.0,1/19/2023,2/1/2029,A1,A-,USD,US61747YFA82,5.900729244503852,5.123,5.123,STABLE,STABLE,0.1456341132192204,125905011300
194,Deutsche Bank AG,1250000000.0,2/17/2015,2/17/2025,Baa3,BB+,EUR,DE000DB7XJJ2,4.2629150429951475,2.783,2.75,STABLE,POS,0.4762511303331925,22573248090
196,Intesa Sanpaolo SpA,500000000.0,10/14/2020,10/14/2030,Baa3,BB+,EUR,XS2243298069,5.280518335867621,2.9250000000000003,2.925,STABLE,STABLE,0.6092028602330428,47827802150
197,JPMorgan Chase & Co,1919330000.0,6/14/2022,6/14/2030,A1,A-,USD,US46647PDF09,5.735754507353178,4.565,4.565,STABLE,STABLE,0.1916079541160712,443654140000
198,Intesa Sanpaolo SpA,500000000.0,10/2/2023,10/2/2025,Baa1,BBB,EUR,XS2696903728,4.212311624477216,4.529,4.5,STABLE,STABLE,0.1325148191392512,47827802150
199,JPMorgan Chase & Co,2914541000.0,4/22/2021,4/22/2052,A1,A-,USD,US46647PCE43,5.558202544576776,3.3280000000000003,3.328,STABLE,STABLE,0.3397992381395216,443668595050
200,Morgan Stanley,2504735750.0,4/21/2023,4/20/2029,A1,A-,USD,US61747YFD22,5.9012177725289146,5.164,5.164,STABLE,STABLE,0.1131309442866239,125905011300
201,Intesa Sanpaolo SpA,750000000.0,9/1/2020,#N/A Field Not Applicable,Ba3,BB-,EUR,XS2223761813,8.820174325205977,5.961,5.875,STABLE,STABLE,0.5804122342600102,47827802150
202,Apple Inc,1716326500.0,8/8/2022,8/8/2052,Aaa,AA+,USD,US037833EQ92,5.115614065067161,3.988,3.95,STABLE,STABLE,0.3768596247185913,2962488200960
205,Intesa Sanpaolo SpA,613095750.0,6/1/2021,6/1/2042,Baa3,BB+,USD,US46115HBS58,8.88897203449424,4.95,4.95,STABLE,STABLE,0.3161302431188471,47827802150
208,JPMorgan Chase & Co,1459892000.0,5/13/2014,5/13/2024,A1,A-,USD,US46625HJX98,5.687027381565043,3.684,3.625,STABLE,STABLE,0.1107117264197187,443654140000
